title,subtitle,add_labels,date,speakers,topics,scripture,summary,published,sub_id
Third Sunday of Kiahk - Preaching Joy in the Lord,Fr Tadros Yacoub Malaty,,,,Evangelism|Joy|Service|St Mary|Nativity|Eternal Life|Holy Spirit,,"""The world does not need sermons and books as much as it thirsts for Christ to enter the hearts and homes.""
The Lord Christ did not choose St Mary to be among the twelve disciples or the seventy apostles, but she was a wonderful and an effective model in her practical evangelical service. With her act of love, the house of Zacharias the priest was transformed into a joyful heaven. The baby leaped cheerfully, Elizabeth was filled with the Holy Spirit, and the entire house joyfully praised God. How great is the evangelism of Mary! She did not tell them anything but just came to them bearing Christ!
In the third reflection of this series, Fr Tadros Yacoub Malaty shows us how we can preach the joy of the Lord this Christmas simply by our actions.",yes,ef5b5fea-3ecc-420c-b484-6628f440ca2b
The Church - The House of Love,Fr Tadros Yacoub Malaty,,,,Church|Faith|Relationship|Trinity|Eternal Life,,"Our mutual relationships are based upon a living practical faith that is a reflection of faith in the Holy Trinity, a sound awareness of the concept of the Church as the Bride of Christ, and a pleasing icon of the heavenly ecclesiastical life that is ruled entirely by love in its two cornerstones: love of God and neighbour.
In this reflection on The Church, Fr Tadros Yacoub Malaty describes how a church with its servants and congregation can truly become a House of Love.",yes,b6a78f09-eba6-45b8-9c93-f9c9472ddfb4
The Power of a Transformed Life,"Sunday Homilies, 29 Nov 20","St Maurice and St Verena Coptic Orthodox Church, Ontario, CA",11/29/20,Fr Pishoy Salama,,,"Luke 14: 34 ~ ""Salt is good; but if the salt has lost its flavour, how shall it be seasoned?"" 

In this Sunday's sermon, Fr Pishoy Salama contemplates on the power of a Christian to transform the lives of those around us as we are called to be the salt of the earth.

Tune in to find out how we can live a transformed, renewed life!",yes,44112a49-d5e9-495d-9a63-768fc500c7be
Taking Away Our Reproach: Healing Church Hurt,"Sunday Homilies, 13 Dec 20","St Maurice and St Verena Coptic Orthodox Church, Ontario, CA",12/13/20,Fr Pishoy Salama,Church|Healing,,"In this Sunday's sermon, Fr Pishoy Salama contemplates on the annunciation of the birth of St John the Baptist to his parents, Zachariah and Elizabeth. Elizabeth who was barren for many years was ashamed of her infertility due to cultural pressures and likewise today, many of us face cultural pressures despite God's love and acceptance for all. 

Fr Pishoy focuses on three major points: 
1. Biblical overview of infertility 
2. Cultural wounds 
3. Healing church hurt",yes,c846b40f-9102-4c18-8dab-372b7e57b51b
"Hello, Is It Me You Are Looking For?","Sunday Homilies, 20 Dec 20","St Maurice and St Verena Coptic Orthodox Church, Ontario, CA",12/20/20,Fr Thomas Hanna,Salvation|St Mary,,"In this Sunday's sermon, Fr Thomas Hanna contemplates on St Mary's response to Archangel Gabriel's annunciation of the birth of Jesus Christ. Throughout the Bible, God searches for those who follow Him and are willing to be used for His Divine work of salvation. There are many characters in the Bible who have responded to God's calling with 'yes' like Moses, Samuel and St Mary and others who have responded with 'no'.

God is still searching the world today for souls who are ready to serve the Almighty, are we ready to respond to Him and say, 'Hello, is it me You are looking for?'",yes,5ceb9931-075b-4c28-9d9a-22eadbe7b72a
Mighty Overcomers: Nurturing a Generation of Godly Youth,"Sunday Homilies, 27 Dec 20","St Maurice and St Verena Coptic Orthodox Church, Ontario, CA",12/27/20,Fr Pishoy Salama,Church,,"1 John 2:14 ~ ""I have written to you, young men (people), because you are strong, and the word of God abides in you, and you have overcome the wicked one.""

In this Sunday Sermon, Fr Pishoy Salama contemplates on St John's powerful description of young youth in the catholic epistle. Fr Pishoy highlights the importance of parents and servants connecting to youth and connecting our youth to the church as Pope Shenouda III once said 'the youth is the future of our church'.",yes,021615d7-6859-4e0d-9a3b-b9fe60d1c2f2
Testimonies,"Mission Minute, 24 Nov 20",,11/24/20,Fr Abraham Fam,Fear|Forgiveness|Hope,,"In this episode of Mission Minute, we hear the testimonies of three believers who were impacted by God's love and forgiveness which as a result allowed them to change their lives completely. God did wonders to resurrect their lives and now they want to share with all of you what He did. Tune in now to have a listen!

""But sanctify the Lord God in your hearts, and always be ready to give a defense to everyone who asks you a reason for the hope that is in you, with meekness and fear"" 1 Peter 3:15",yes,79723159-8a21-4991-95aa-a952b3e4201d
Let It Be To Me,Maria Malik,,,,,,,yes,26efa83e-8509-48da-bcd3-0c78e45eb1b0
Noel Cover,Olivia Morcos,,,,,,,yes,153b09be-0a5c-4e4d-905d-177b91428913
Drummer Boy,Psalm 34,,,,,,,yes,053a85cd-e3cf-47dd-af8b-6f6df01a85a6
God Rest Ye Merry Gentlemen,Eporanion Choir,,,,Gentleness,,,yes,53492df8-4a6d-42ee-8917-0436f48fb88b
Silent Night,Girl's Choir,,,,Lent,,,yes,fae2508e-f569-4890-9ac7-dcebd90d6adc
How Many Kings,Kris Diskoros,,,,,,,yes,1b51516e-61f6-45f6-b81b-9094d314b07d
O Holy Night,Marianne Botros & Remi Abdelsayed,,,,,,,yes,04f961fd-12f7-4786-8a17-443d5c638101
Streets of Bethlehem,Andro Bottros & Elizabeth Nada,,,,,,,yes,90fb61bb-df3b-44cc-85c2-9f1ad75849b8
Moved By Faith,"Sunday Homilies, 27 Dec 20",,12/27/20,Fr Michael Sorial,Faith,,"""Faith moves us to speak words of life.""

Draw close to the people in front of us by speaking words of life with this enlightening talk by Fr Michael on the Magnificat.",yes,05b9d1cd-6ff9-4188-b4a1-1bee755a7d35
Luke 19:1-27 - Opening Our Spiritual Eyes,"Bible Studies, 02 Jan 21",,1/2/21,HG Bishop Youssef,Lent|Parable,,"In this instalment of the study of the Gospel of St Luke, we hear the story of Zacchaeus as well as the parable of the talents. So what do these stories have to do with the story of the blind man? How are these stories connected? What does this segment of chapter 19 have to do with opening our eyes spiritually? Tune in as His Grace answers all these questions and many more!",yes,3616edfd-43d6-4577-bba8-5f7e1b3030f4
Restoration Of Peter,"Spiritual Reflections, 02 Jan 21",,1/2/21,HG Bishop Youssef,,,"'And the Lord turned and looked at Peter. Then Peter remembered the word of the Lord, how He had said to him, “Before the rooster crows, you will deny Me three times.” So Peter went out and wept bitterly.' (Luke 22:61-62)

Despite telling Christ that he would never deny Him, Peter denied Christ three times on the night of His arrest. However, this story isn't one that ends there! Tune in as His Grace speaks about the character of St Peter, and how he came back to Christ.",yes,2c7d6fa9-8d8c-4cdf-9c3d-4167d5555618
Contemplation on the New Year,"Spiritual Reflections, 01 Jan 21",,1/1/21,Fr Paul Girguis,,,Tune in as Fr Paul Guirguis contemplates on the past year and how to make the most of 2021 spiritually.,yes,8456ab95-3bb7-427f-84c0-4f9cf270925a
The Perfect Gift - Part 2: Responding to the Perfect Gift,"Series, 03 Jan 21.",,1/3/21,Fr Timothy Fam,,,"""For once you were darkness, but now in the Lord you are light. Live as children of light - for the fruit of the light is found in all that is good and right and true"" (Ephesians 5:8). 

Tune in as Fr Timothy Fam continues the series of God's Perfect Gift as he talks about focusing on responding to God's love by abiding in His light.",yes,3588247d-8d92-4bb0-8025-29effce9991c
"Scripture, Tradition, and the Canon","Apologetics, 09 Jul 20",,7/9/20,Fr John Behr,,,"Tune in to Fr. John Behr as he answers all questions you've ever asked yourself on the Bible, tradition and the foundation of the orthodox doctrine",yes,33e242f1-13ed-4b08-a34d-89114372208d
,,,,,,,,no,2783f4bb-b3ba-40d7-a38f-0ae98fa77dac
,,,,,,,,no,1f0e5a83-5572-400c-8403-09bc94700025
Episode 18 - Relationships: Dear Mom and Dad,"EAM, 03 Jan 21",,1/3/21,,Relationship,,The fifth episode of a five-part series on relationships! Join us in our discussion on the difficulties that underlie our relationship with our parents. What are some challenges we face as youth and how do we overcome these challenges? How do we maintain a healthy relationship and continuously improve our relationship with our parents?,yes,593063b0-5a42-45ae-a13c-bf2f1f725737
Episode 19 - A Year in Review (2020),"Coffee with Bishop Suriel, 01 Jan 21",,1/1/21,,,,In this episode you will find a short spiritual message at the end of a year and the beginning of 2021 followed by snippets from the 2020 podcasts. In this podcast I will also share some exciting news on the newly established SAINT HABIB GIRGIS FOUNDATION. Thank you all for your support and I look forward to sharing more new podcasts in the coming year 2021. God bless you.,yes,5a7228c4-10af-46f3-941a-d1aa9103e4f8
Fulfilling God's Purpose,"Sunday Homilies, 01 Jan 21",,1/3/21,Fr David Milad,Purpose,,Tune in to Fr David as he discusses our purpose in life which is serving God like John the Baptist.,yes,f1b1a529-3468-4957-b0da-06ee9d33ed5b
Uncertainty Ahead - Part 4: Xenophobia,"Series, 20 Dec 20",,12/20/20,Fr Nathanael Guirguis,Fear|Politics,,"Xenophobic; a now politicised word to describe someone who is afraid of someone not like them... but did you know that the roots of xenophobia actually mean 'fear of the unknown'? 
Tune in as Fr Nathanael explains that we can be driven by clarity, rather than desiring certainty.",yes,0b177f2d-8d98-4543-b1f3-ab45c1a18803
From Distant to Near: Praise and Glorification,"Series, 03 Jan 21",,1/3/21,Fr Joseph Abraham,Prayer|Sacrifice,,"Prayer and thanksgiving can be considered as offerings of complete sacrifice which are accepted by God (St Justin). When we step back to measure our prayer life, we need to measure the degree of our whole spiritual life which ultimately relies on our sacrifices and love for God. Fr Joseph Abraham delves into what this means through this enlightening sermon.",yes,afadb666-1e3f-4ec0-a985-3ec36a4842ac
Salvific Tasks,"Sunday Homilies, 20 Dec 20",,12/20/20,Fr Nathanael Guirguis,Salvation,,"Are we saved? 

Discover the Orthodox perspective on salvation, and what it means for a task to be salvific, leading to salvation, with this amazing talk by Fr Nathanael!",yes,29e25ab1-a3c9-45c8-a2c8-8bd648a63afd
The Case for the Resurrection,"Apologetics, 16 Aug 20",,8/16/20,Fr Antonios Kaldas,Resurrection,,Tune in to Fr. Antonios Kaldas as he takes us through the resurrection of Jesus from a historical perspective and takes us through some of the different ways historians have wrestled with this striking episode of human history.,yes,6917c900-2860-49e9-8b30-339e72f080d4
Christmas Is More Than a Holiday - Part 1: Growing in Wisdom,"Series, 14 Dec 20",,12/14/20,Fr Michael Sorial,Nativity|Wisdom,,"Fr. Michael Sorial began a new series titled CHRISTMAS IS MORE THAN A HOLIDAY. Christmas is the celebration of the Incarnation of God the Word. During this season of Advent, we will be exploring how the Incarnation impacts our everyday life. In Part 1 we discussed the gift of growing in wisdom, as a gift that was offered to humanity through the Incarnation.",yes,92c62897-1ef1-494e-bb7f-0c9ffa670b0a
Christmas Is More Than a Holiday - Part 2: Facing Temptation,"Series, 20 Dec 20",,12/20/20,Fr Michael Sorial,Confession|Nativity|Temptation,,"Fr. Michael Sorial continued in Part 2 of the series titled CHRISTMAS IS MORE THAN A HOLIDAY. Christmas is the celebration of the Incarnation of God the Word. During this season of Advent, we will be exploring how the Incarnation impacts our everyday life. When we are facing temptation, what do we need to help us escape? What prevents us from getting that needed help? In Part 2 we discussed how when we face temptation, we need to hold fast to our confession and draw near to Jesus.",yes,ca26bfd6-414e-4e7d-b317-6254c19fb36a
Christmas Is More Than a Holiday - Part 3: Persevering Through Suffering,"Series, 27 Dec 20",,12/27/20,Fr Michael Sorial,Faith|Joy|Nativity,,"Fr. Michael Sorial continued in Part 3 of the series titled CHRISTMAS IS MORE THAN A HOLIDAY. Christmas is the celebration of the Incarnation of God the Word. During this season of Advent, we will be exploring how the Incarnation impacts our everyday life. Why is it hard to wait and be patient in the midst of suffering? How might faith in God sustain us in the face of loss and trial? Fr. Michael discussed 2 things that can help us persevere through suffering with joy.",yes,05aef187-bcf6-4fa1-ad68-838032cdb43a
Being Different,"Sunday Homilies, 03 Jan 21",,1/3/21,David Nada,Pride,,"Being different is something that we as Christians should take pride in. As we are called the salt of the earth, we are called to bring flavour to the world. Listen to this sermon, as David Nada discusses how we can do this by being different.",yes,16336c35-d69d-4703-a274-c9d4118e0abc
New Year’s Eve – Sea Worthy,"Spiritual Reflections, 31 Dec 20",,12/31/20,Fr Benjamin Abouelkheir,,,"Tune in with Fr Benjamin as he reflects on the events that occured this year and encourages to focus our attention to the captain of our ship- our God, who is definitely sea worthy and has protected us through the storms we faced this year and will continue to look after us in any future storm!",yes,4b829439-7a97-41f7-a162-1192ac242ff0
The Visitation Of God,"Sunday Homilies, 03 Jan 21",,1/3/21,HG Bishop Youssef,Nativity,,"""Blessed is the Lord God of Israel, for He has visited and redeemed His people."" (Luke 1:68)

As a shepherd seeks out his flock, God indeed by the incarnation has visited us. Tune in as His Grace speaks about why God searches for us, and what this actually means for us in the lead up to the nativity feast!",yes,17642e08-c36d-4a3b-90e0-e29f700a8daf
A Second Convenant,"Spiritual Reflections, 03 Jan 21",,1/3/21,HG Bishop Youssef,Covenant,,"Why did God need to replace the old covenant with a new one? What is the difference between the two? How do we act as Christians according the new covenant? 

Tune in as His Grace speaks about the new covenant, answering all the questions you might not have thought to ask and more!",yes,67c806d4-475c-4ec9-9ce8-82a140e5017a
Chosen,Mira Ghaly,,,,,,,yes,5523bc48-35dd-4278-bb64-1d41bdf4a230
His Name is John,"Sunday Homilies, 03 Jan 21",,3/1/21,Fr Theodore Ghaly,,,"""St John the Baptist was different. He was set apart for God's use"". Tune in as Fr Theodore Ghaly speaks to us about the legacy of St John and how we can replicate his love for God.",yes,e20af880-fab1-4668-8f3a-410a1545d58e
Healing of the Paralytic Man,"Sunday Homilies, 13 Oct 19",,10/13/19,Fr Michael Maximous,Healing,,Tune into this Sunday Homily delivered by Fr Michael as he delves into the story of the healing of the paralytic man from the Gospel of St Mark.,yes,a81fa0ea-2c24-43a0-88e4-f6e6ace0fcae
Judges 8 - Pursuing the Kings of Midian,"Bible Studies, 03 Jan 21",,1/3/21,Fr Theodore Ghaly,,,Continue chapter 8 from the book of Judges as Fr Theodore Ghaly speaks about Gideon and his characteristics in settling frustration and much more!,yes,dfbb16b7-1ea0-417a-961d-a8fd54c966f0
Romans 5 - Faith Triumphs in Trouble,"Bible Studies, 30 Dec 20",,12/30/20,Fr Daniel Habib,Faith,,Tune in as Fr Daniel Habib explores Romans 5 where we discover that faith triumphs in trouble.,yes,5b48912d-f191-4660-9d69-f82f8e5e4bd1
Fourth Sunday of Kiahk - What Kind of Child Will This Be?,Fr Tadros Yacoub Malaty,,,,Church|Nativity|Relationship,,"As the nativity of Christ approaches, the Church presents to us the story of the birth of John the Baptist from the Gospel of Luke 1:57-80. On his birth, St Luke the Evangelist tells us four things that impact our relationship with the birth of Christ and our spiritual growth: the naming of John, the reaction of the neighbours, the Prophecy of Zachariah and John's growing strength.
In this finale of this series, Fr Tadros Yacoub Malaty unpacks the character of St John the Baptist and the nature of his introduction into the Gospels.",yes,4895e1ea-1fcc-4c4f-ac15-778307ac3658
Eastern & Oriental Orthodox Relations,"Apologetics, 15 Sep 20",,9/15/20,Christine Chaillot,Orthodoxy,,Tune in to Dr Christine Chaillot as she discusses the relations & differences between Oriental & Eastern Orthodoxy.,yes,94f04f24-1517-4b9a-acaf-3b5d11a094ad
The Blessings Of The Glorious Nativity Feast,"Spiritual Reflections, 06 Jan 21",,1/6/21,HG Bishop Youssef,Blessings|Nativity|Sacrifice|Eternal Life,,"Everything about the glorious birth of Christ brings up questions that are beyond our full comprehension. How did God become man? How did the One, whose throne is in heaven with the earth as His footstool, becomes born as a child among us through a virgin birth? Why did God, the King of kings, make such a sacrifice for us?

Tune in as His Grace reflects on the glorious feast of the nativity, and speaks about seven blessings of the incarnation of Christ!",yes,da1b3de6-06b6-405b-bb62-9f43bdcb6007
Serving Him Without Fear,"Sunday Homilies, 03 Jan 21","St Maurice & St Verena Coptic Orthodox Church, Ontario, CA",1/3/21,Fr Pishoy Salama,Fear|Salvation,,"Luke 1:74 ~ "" To grant us that we, being delivered from the hand of our enemies, might serve Him without fear""

In this Sunday's sermon, Fr Pishoy Salama contemplates on Zacharias' prophesy after the birth of St John the Baptist. Often we might think of God as a Master and Judge who should be feared but we forget that God is also a kind and loving Father who sent His only Begotten Son into the world for the sake of our salvation. Tune in to an amazing sermon by Fr Pishoy Salama!",yes,c64299ed-84c1-43c5-b5af-b22b2801bbc0
Launch Out Into The Deep,"Sunday Homilies, 18 Oct 20",,10/18/20,HG Bishop Kyrillos,,,"Luke 5:4 - ""When He had stopped speaking, He said to Simon, ""Launch out into the deep and let down your nets for a catch.""

In this sermon, Bishop Kyrillos contemplates on how the Lord asked Simon Peter to launch out into the deep, to not only catch fish but to gain a depth of knowledge of God which is not seen on the surface... so you need to 'launch out into the deep to find this'.",yes,58e22e2f-5266-4c3c-b73a-b8bbe95de3f4
St Mary: An Example of Purity,Sunday Homilies,,12/27/20,Fr Moses Ayad,Obedience|Purity|Service|St Mary,,Tune in as Fr Moses Ayad discusses St Mary's purity and obedience as an example in our daily lives and within service.,yes,4e75f9d2-e046-4166-97bf-f23fc6849863
Connecting The Dots,"Spiritual Reflections, 03 Jan 21",,1/3/21,Fr Nathanael Guirguis,Purpose,,"""Why would God allow this? Is there a purpose for all of this? Why can't we embrace pain for what it is, and not question things?""

Embrace these questions, and accept the fulfilment and tangible truth that comes with our incomprehensible God, through this enlightening talk by Fr Nathanael!",yes,ac099ed2-0ba2-4e0c-bcde-64ab20752cc6
Episode 19 - My FoC and Me,"EAM, 10 Jan 21",,1/10/21,,Confession|Relationship,,The fifth episode of a five-part series on relationships! What does a healthy relationship with our father of confession (FOC) look like? What are some struggles that we face with our FOC? How do we overcome these  struggles? Join us as we discuss the importance of our FOC in our lives!,yes,ce71345a-c9c7-4d83-a949-b2d6282b7f65
You Are What You Ask - Part 1 - The Integrity Question,"Series, 11 Jan 21",,1/11/21,Fr. Anthony Messeh,,,"""You shall know the truth, and the truth shall set you free"".

Fr Anthony Messeh delves into the importance of questioning what our hearts gravitate towards. He makes us question: Is this the will of God or is this the will of a deceitful heart?",yes,60919a24-388f-44ce-9b89-439c6def13dd
Fleeing From Sin,"Sunday Homilies, 10 Jan 21","St Mark’s Coptic Orthodox Church, Sydney, Australia",1/10/21,Fr. Yacoub Magdy,,,"Today's gospel teaches us the importance of fleeing from sin rather than rationalising/fighting with it

Join Fr Yacoub Magdy as he explains the importance of this action",yes,bbad9929-71dd-457c-9717-e66cb05a93b3
Luke 19:28-48 - The Humble King,"Bible Studies, 09 Jan 21",,1/9/21,HG Bishop Youssef,,,"Tune in as His Grace continues this series on the Gospel of St Luke! Listen in as this segment covers the triumphal entry of Christ into Jerusalem, Christ weeping over Jerusalem, and the cleansing of the temple.",yes,d73b7dc4-5ebd-4c51-8d3d-4fcaad32d501
How To Run From Evil,"Sunday Homilies, 10 Jan 21",,1/10/21,HG Bishop Youssef,,,"As Christians, we want to run from corruption and evil - and with all things comes a good and bad way of doing it. So what are we meant to run from? How do we run from evil? What are these 'good' and 'bad' ways of running? Tune in as His Grace speaks about the different types of running, and looks into some perfect examples of these from the Bible!",yes,2df41a77-b714-40c8-9b2e-4198b705a11b
The Spirit of St John The Baptist,"Sunday Homilies, 03 Jan 21",,1/3/21,Fr Nathanael Guirguis,Eternal Life,,"Join Fr Nathanael as he explains how embracing the introspection, a repentant heart, and a poor spirit that St John personified, is the prerequisite for me to be fulfilled, for clarity, and to inherit eternal life.",yes,d7b7e472-b5db-41ae-a282-87fe4d51f657
Fleeing to Egypt with the Holy Family,"Sunday Homilies, 10 Jan 21",,1/10/21,Fr Paul Girguis,Trust,,"Tune in as Fr Paul Guirguis explains that sometimes things in our lives may not go as planned, like how Jesus and His family fled to Egypt, but that we should always trust in God's plans.",yes,8bf45347-4b37-4b6d-be71-106f76314cdb
Discerning God’s Will,"Sunday Homilies, 10 Jan 21",,1/10/21,Fr Joseph Abraham,Trust,,"Does God have a will for us? Is God concerned with the finer details of my life? How do I find and trust God’s will?
Tune in as Fr Joseph Abraham delves into the topic of ‘what is God’s will’ and explains some practical tools we can apply in our lives to find God’s will.",yes,963f1e02-e167-4602-a237-51564f7e4a1b
